classification,country,risk_class,implanted,distributed_to,manufacturer_id,name,description,device_id,name_length,description_length,target
Diagnostic Devices,India,3,No,Hospitals,14,Device 0,Medical equipment,1,8,17,0
Cardiovascular Devices,India,3,Yes,Hospitals,14,Device 1,Medical equipment,2,8,17,0
Diagnostic Devices,UK,3,Yes,Clinics,10,Device 2,Medical equipment,3,8,17,0
Diagnostic Devices,India,3,Yes,Clinics,2,Device 3,Medical equipment,4,8,17,0
Cardiovascular Devices,USA,1,Yes,Hospitals,14,Device 4,Medical equipment,5,8,17,0
Cardiovascular Devices,USA,3,Yes,Clinics,9,Device 5,Medical equipment,6,8,17,0
Diagnostic Devices,USA,2,No,Clinics,3,Device 6,Medical equipment,7,8,17,0
Respiratory Devices,UK,2,Yes,Clinics,8,Device 7,Medical equipment,8,8,17,0
Diagnostic Devices,India,3,Yes,Hospitals,16,Device 8,Medical equipment,9,8,17,0
Diagnostic Devices,USA,3,Yes,Clinics,2,Device 9,Medical equipment,10,8,17,0
Diagnostic Devices,UK,2,Yes,Clinics,6,Device 10,Medical equipment,11,9,17,0
Diagnostic Devices,India,2,No,Hospitals,12,Device 11,Medical equipment,12,9,17,0
Cardiovascular Devices,UK,1,No,Hospitals,5,Device 12,Medical equipment,13,9,17,0
Diagnostic Devices,USA,2,No,Clinics,2,Device 13,Medical equipment,14,9,17,0
Respiratory Devices,USA,2,No,Clinics,16,Device 14,Medical equipment,15,9,17,1
Cardiovascular Devices,USA,3,Yes,Hospitals,5,Device 15,Medical equipment,16,9,17,0
Respiratory Devices,UK,2,No,Hospitals,15,Device 16,Medical equipment,17,9,17,1
Respiratory Devices,UK,1,Yes,Clinics,12,Device 17,Medical equipment,18,9,17,0
Respiratory Devices,USA,2,Yes,Clinics,4,Device 18,Medical equipment,19,9,17,0
Respiratory Devices,UK,3,Yes,Clinics,15,Device 19,Medical equipment,20,9,17,1
Cardiovascular Devices,USA,3,Yes,Clinics,11,Device 20,Medical equipment,21,9,17,1
Cardiovascular Devices,USA,2,Yes,Hospitals,16,Device 21,Medical equipment,22,9,17,0
Respiratory Devices,India,3,No,Clinics,6,Device 22,Medical equipment,23,9,17,0
Respiratory Devices,UK,1,No,Clinics,14,Device 23,Medical equipment,24,9,17,1
Cardiovascular Devices,USA,1,No,Hospitals,18,Device 24,Medical equipment,25,9,17,0
Cardiovascular Devices,USA,2,No,Clinics,12,Device 25,Medical equipment,26,9,17,0
Cardiovascular Devices,UK,2,Yes,Hospitals,11,Device 26,Medical equipment,27,9,17,0
Diagnostic Devices,India,2,No,Clinics,13,Device 27,Medical equipment,28,9,17,1
Diagnostic Devices,India,3,Yes,Clinics,11,Device 28,Medical equipment,29,9,17,0
Diagnostic Devices,USA,1,No,Hospitals,16,Device 29,Medical equipment,30,9,17,0
Respiratory Devices,UK,1,Yes,Hospitals,15,Device 30,Medical equipment,31,9,17,0
Diagnostic Devices,India,3,Yes,Clinics,15,Device 31,Medical equipment,32,9,17,0
Respiratory Devices,UK,1,No,Clinics,4,Device 32,Medical equipment,33,9,17,0
Respiratory Devices,UK,2,Yes,Clinics,11,Device 33,Medical equipment,34,9,17,0
Diagnostic Devices,USA,2,Yes,Hospitals,19,Device 34,Medical equipment,35,9,17,1
Respiratory Devices,India,2,No,Clinics,15,Device 35,Medical equipment,36,9,17,0
Diagnostic Devices,USA,1,Yes,Hospitals,4,Device 36,Medical equipment,37,9,17,0
Diagnostic Devices,India,2,No,Hospitals,13,Device 37,Medical equipment,38,9,17,1
Cardiovascular Devices,India,3,No,Clinics,19,Device 38,Medical equipment,39,9,17,0
Diagnostic Devices,India,3,No,Hospitals,2,Device 39,Medical equipment,40,9,17,1
Cardiovascular Devices,India,1,Yes,Clinics,14,Device 40,Medical equipment,41,9,17,1
Diagnostic Devices,India,3,Yes,Clinics,4,Device 41,Medical equipment,42,9,17,0
Diagnostic Devices,UK,3,Yes,Clinics,16,Device 42,Medical equipment,43,9,17,0
Cardiovascular Devices,USA,1,No,Clinics,14,Device 43,Medical equipment,44,9,17,1
Cardiovascular Devices,UK,2,Yes,Clinics,15,Device 44,Medical equipment,45,9,17,0
Diagnostic Devices,India,2,No,Hospitals,3,Device 45,Medical equipment,46,9,17,0
Respiratory Devices,USA,2,No,Hospitals,8,Device 46,Medical equipment,47,9,17,1
Cardiovascular Devices,India,1,Yes,Clinics,16,Device 47,Medical equipment,48,9,17,0
Respiratory Devices,USA,3,No,Clinics,10,Device 48,Medical equipment,49,9,17,1
Respiratory Devices,UK,2,Yes,Hospitals,4,Device 49,Medical equipment,50,9,17,0
Respiratory Devices,USA,2,Yes,Hospitals,18,Device 50,Medical equipment,51,9,17,0
Cardiovascular Devices,USA,1,Yes,Hospitals,2,Device 51,Medical equipment,52,9,17,0
Respiratory Devices,USA,2,Yes,Hospitals,17,Device 52,Medical equipment,53,9,17,0
Cardiovascular Devices,USA,1,Yes,Clinics,13,Device 53,Medical equipment,54,9,17,0
Respiratory Devices,USA,3,No,Clinics,4,Device 54,Medical equipment,55,9,17,1
Diagnostic Devices,India,1,No,Hospitals,11,Device 55,Medical equipment,56,9,17,0
Diagnostic Devices,USA,1,No,Clinics,7,Device 56,Medical equipment,57,9,17,1
Cardiovascular Devices,USA,1,Yes,Hospitals,12,Device 57,Medical equipment,58,9,17,0
Diagnostic Devices,UK,1,Yes,Clinics,10,Device 58,Medical equipment,59,9,17,1
Diagnostic Devices,USA,3,Yes,Hospitals,7,Device 59,Medical equipment,60,9,17,0
Respiratory Devices,UK,3,No,Clinics,13,Device 60,Medical equipment,61,9,17,1
Cardiovascular Devices,India,2,Yes,Hospitals,7,Device 61,Medical equipment,62,9,17,1
Respiratory Devices,USA,3,No,Hospitals,17,Device 62,Medical equipment,63,9,17,1
Respiratory Devices,UK,3,No,Clinics,10,Device 63,Medical equipment,64,9,17,1
Respiratory Devices,UK,2,Yes,Hospitals,10,Device 64,Medical equipment,65,9,17,0
Respiratory Devices,India,3,Yes,Clinics,4,Device 65,Medical equipment,66,9,17,0
Respiratory Devices,USA,1,No,Clinics,4,Device 66,Medical equipment,67,9,17,0
Respiratory Devices,USA,1,Yes,Hospitals,7,Device 67,Medical equipment,68,9,17,1
Respiratory Devices,UK,2,No,Clinics,1,Device 68,Medical equipment,69,9,17,0
Cardiovascular Devices,USA,2,Yes,Clinics,12,Device 69,Medical equipment,70,9,17,1
Diagnostic Devices,UK,2,Yes,Clinics,13,Device 70,Medical equipment,71,9,17,0
Respiratory Devices,USA,1,No,Clinics,10,Device 71,Medical equipment,72,9,17,1
Respiratory Devices,UK,3,Yes,Clinics,15,Device 72,Medical equipment,73,9,17,0
Respiratory Devices,USA,1,No,Hospitals,13,Device 73,Medical equipment,74,9,17,0
Respiratory Devices,India,2,Yes,Clinics,9,Device 74,Medical equipment,75,9,17,1
Respiratory Devices,USA,3,No,Clinics,9,Device 75,Medical equipment,76,9,17,0
Respiratory Devices,USA,3,No,Clinics,15,Device 76,Medical equipment,77,9,17,0
Diagnostic Devices,India,1,Yes,Clinics,10,Device 77,Medical equipment,78,9,17,1
Diagnostic Devices,USA,2,No,Clinics,10,Device 78,Medical equipment,79,9,17,1
Respiratory Devices,India,1,Yes,Hospitals,8,Device 79,Medical equipment,80,9,17,0
Diagnostic Devices,USA,3,Yes,Clinics,16,Device 80,Medical equipment,81,9,17,1
Cardiovascular Devices,UK,1,Yes,Hospitals,17,Device 81,Medical equipment,82,9,17,1
Respiratory Devices,UK,1,No,Hospitals,5,Device 82,Medical equipment,83,9,17,1
Cardiovascular Devices,USA,2,No,Hospitals,4,Device 83,Medical equipment,84,9,17,0
Cardiovascular Devices,USA,2,Yes,Hospitals,18,Device 84,Medical equipment,85,9,17,0
Respiratory Devices,USA,3,Yes,Clinics,19,Device 85,Medical equipment,86,9,17,1
Diagnostic Devices,UK,1,No,Hospitals,4,Device 86,Medical equipment,87,9,17,0
Cardiovascular Devices,USA,1,Yes,Hospitals,7,Device 87,Medical equipment,88,9,17,0
Respiratory Devices,UK,1,Yes,Clinics,10,Device 88,Medical equipment,89,9,17,1
Cardiovascular Devices,India,3,No,Clinics,18,Device 89,Medical equipment,90,9,17,1
Cardiovascular Devices,UK,3,Yes,Clinics,19,Device 90,Medical equipment,91,9,17,0
Cardiovascular Devices,UK,2,No,Hospitals,4,Device 91,Medical equipment,92,9,17,1
Cardiovascular Devices,India,2,Yes,Clinics,10,Device 92,Medical equipment,93,9,17,0
Diagnostic Devices,UK,2,No,Clinics,1,Device 93,Medical equipment,94,9,17,0
Cardiovascular Devices,USA,1,Yes,Hospitals,18,Device 94,Medical equipment,95,9,17,0
Cardiovascular Devices,USA,1,Yes,Clinics,5,Device 95,Medical equipment,96,9,17,0
Cardiovascular Devices,UK,2,No,Clinics,15,Device 96,Medical equipment,97,9,17,0
Diagnostic Devices,USA,1,Yes,Clinics,17,Device 97,Medical equipment,98,9,17,0
Cardiovascular Devices,UK,2,No,Clinics,3,Device 98,Medical equipment,99,9,17,0
Cardiovascular Devices,USA,3,Yes,Hospitals,12,Device 99,Medical equipment,100,9,17,0
Diagnostic Devices,USA,2,No,Clinics,2,Device 100,Medical equipment,101,10,17,1
Diagnostic Devices,UK,3,No,Clinics,1,Device 101,Medical equipment,102,10,17,0
Diagnostic Devices,USA,1,No,Hospitals,17,Device 102,Medical equipment,103,10,17,0
