device_id,reason,action_summary,action,type
20,Routine inspection,Checked,Maintenance,Service
394,Normal operation,Checked,Maintenance,Service
24,Routine inspection,Checked,Maintenance,Service
227,Routine inspection,Checked,Maintenance,Service
154,Device failure reported,Checked,Maintenance,Service
293,Routine inspection,Checked,Maintenance,Service
230,Routine inspection,Checked,Maintenance,Service
469,Normal operation,Checked,Maintenance,Service
310,Device failure reported,Checked,Maintenance,Service
488,Normal operation,Checked,Maintenance,Service
359,Routine inspection,Checked,Maintenance,Service
405,Routine inspection,Checked,Maintenance,Service
202,Routine inspection,Checked,Maintenance,Service
38,Routine inspection,Checked,Maintenance,Service
430,Normal operation,Checked,Maintenance,Service
260,Routine inspection,Checked,Maintenance,Service
188,Normal operation,Checked,Maintenance,Service
57,Device failure reported,Checked,Maintenance,Service
429,Routine inspection,Checked,Maintenance,Service
20,Routine inspection,Checked,Maintenance,Service
273,Device failure reported,Checked,Maintenance,Service
119,Routine inspection,Checked,Maintenance,Service
71,Normal operation,Checked,Maintenance,Service
4,Routine inspection,Checked,Maintenance,Service
221,Routine inspection,Checked,Maintenance,Service
14,Routine inspection,Checked,Maintenance,Service
3,Normal operation,Checked,Maintenance,Service
216,Routine inspection,Checked,Maintenance,Service
229,Normal operation,Checked,Maintenance,Service
336,Routine inspection,Checked,Maintenance,Service
186,Device failure reported,Checked,Maintenance,Service
55,Device failure reported,Checked,Maintenance,Service
500,Routine inspection,Checked,Maintenance,Service
388,Routine inspection,Checked,Maintenance,Service
376,Device failure reported,Checked,Maintenance,Service
254,Routine inspection,Checked,Maintenance,Service
24,Device failure reported,Checked,Maintenance,Service
162,Routine inspection,Checked,Maintenance,Service
158,Normal operation,Checked,Maintenance,Service
82,Device failure reported,Checked,Maintenance,Service
403,Normal operation,Checked,Maintenance,Service
159,Routine inspection,Checked,Maintenance,Service
188,Routine inspection,Checked,Maintenance,Service
60,Routine inspection,Checked,Maintenance,Service
403,Routine inspection,Checked,Maintenance,Service
305,Routine inspection,Checked,Maintenance,Service
319,Routine inspection,Checked,Maintenance,Service
366,Device failure reported,Checked,Maintenance,Service
211,Routine inspection,Checked,Maintenance,Service
406,Routine inspection,Checked,Maintenance,Service
152,Device failure reported,Checked,Maintenance,Service
109,Routine inspection,Checked,Maintenance,Service
76,Routine inspection,Checked,Maintenance,Service
30,Normal operation,Checked,Maintenance,Service
314,Normal operation,Checked,Maintenance,Service
486,Routine inspection,Checked,Maintenance,Service
117,Routine inspection,Checked,Maintenance,Service
415,Device failure reported,Checked,Maintenance,Service
356,Routine inspection,Checked,Maintenance,Service
192,Routine inspection,Checked,Maintenance,Service
19,Routine inspection,Checked,Maintenance,Service
432,Routine inspection,Checked,Maintenance,Service
173,Routine inspection,Checked,Maintenance,Service
228,Routine inspection,Checked,Maintenance,Service
350,Device failure reported,Checked,Maintenance,Service
183,Normal operation,Checked,Maintenance,Service
113,Routine inspection,Checked,Maintenance,Service
183,Device failure reported,Checked,Maintenance,Service
481,Normal operation,Checked,Maintenance,Service
146,Routine inspection,Checked,Maintenance,Service
319,Routine inspection,Checked,Maintenance,Service
116,Device failure reported,Checked,Maintenance,Service
113,Routine inspection,Checked,Maintenance,Service
251,Normal operation,Checked,Maintenance,Service
476,Routine inspection,Checked,Maintenance,Service
251,Normal operation,Checked,Maintenance,Service
303,Routine inspection,Checked,Maintenance,Service
459,Routine inspection,Checked,Maintenance,Service
313,Device failure reported,Checked,Maintenance,Service
118,Routine inspection,Checked,Maintenance,Service
301,Routine inspection,Checked,Maintenance,Service
161,Routine inspection,Checked,Maintenance,Service
401,Routine inspection,Checked,Maintenance,Service
198,Routine inspection,Checked,Maintenance,Service
260,Normal operation,Checked,Maintenance,Service
148,Routine inspection,Checked,Maintenance,Service
240,Device failure reported,Checked,Maintenance,Service
47,Device failure reported,Checked,Maintenance,Service
475,Normal operation,Checked,Maintenance,Service
399,Routine inspection,Checked,Maintenance,Service
198,Normal operation,Checked,Maintenance,Service
47,Routine inspection,Checked,Maintenance,Service
78,Device failure reported,Checked,Maintenance,Service
124,Device failure reported,Checked,Maintenance,Service
75,Normal operation,Checked,Maintenance,Service
359,Routine inspection,Checked,Maintenance,Service
137,Device failure reported,Checked,Maintenance,Service
90,Routine inspection,Checked,Maintenance,Service
400,Device failure reported,Checked,Maintenance,Service
325,Normal operation,Checked,Maintenance,Service
500,Routine inspection,Checked,Maintenance,Service
61,Normal operation,Checked,Maintenance,Service
138,Routine inspection,Checked,Maintenance,Service
50,Routine inspection,Checked,Maintenance,Service
259,Routine inspection,Checked,Maintenance,Service
461,Routine inspection,Checked,Maintenance,Service
107,Device failure reported,Checked,Maintenance,Service
113,Routine inspection,Checked,Maintenance,Service
350,Routine inspection,Checked,Maintenance,Service
254,Normal operation,Checked,Maintenance,Service
118,Normal operation,Checked,Maintenance,Service
493,Normal operation,Checked,Maintenance,Service
198,Normal operation,Checked,Maintenance,Service
337,Device failure reported,Checked,Maintenance,Service
365,Routine inspection,Checked,Maintenance,Service
51,Routine inspection,Checked,Maintenance,Service
245,Device failure reported,Checked,Maintenance,Service
403,Routine inspection,Checked,Maintenance,Service
426,Device failure reported,Checked,Maintenance,Service
35,Routine inspection,Checked,Maintenance,Service
302,Routine inspection,Checked,Maintenance,Service
410,Routine inspection,Checked,Maintenance,Service
499,Device failure reported,Checked,Maintenance,Service
69,Routine inspection,Checked,Maintenance,Service
349,Device failure reported,Checked,Maintenance,Service
320,Routine inspection,Checked,Maintenance,Service
421,Routine inspection,Checked,Maintenance,Service
468,Normal operation,Checked,Maintenance,Service
49,Device failure reported,Checked,Maintenance,Service
405,Routine inspection,Checked,Maintenance,Service
74,Normal operation,Checked,Maintenance,Service
192,Routine inspection,Checked,Maintenance,Service
261,Routine inspection,Checked,Maintenance,Service
356,Routine inspection,Checked,Maintenance,Service
70,Device failure reported,Checked,Maintenance,Service
90,Device failure reported,Checked,Maintenance,Service
260,Routine inspection,Checked,Maintenance,Service
126,Normal operation,Checked,Maintenance,Service
231,Routine inspection,Checked,Maintenance,Service
295,Routine inspection,Checked,Maintenance,Service
498,Routine inspection,Checked,Maintenance,Service
419,Routine inspection,Checked,Maintenance,Service
129,Routine inspection,Checked,Maintenance,Service
280,Routine inspection,Checked,Maintenance,Service
313,Normal operation,Checked,Maintenance,Service
100,Routine inspection,Checked,Maintenance,Service
326,Routine inspection,Checked,Maintenance,Service
297,Routine inspection,Checked,Maintenance,Service
182,Routine inspection,Checked,Maintenance,Service
174,Routine inspection,Checked,Maintenance,Service
316,Device failure reported,Checked,Maintenance,Service
364,Routine inspection,Checked,Maintenance,Service
188,Device failure reported,Checked,Maintenance,Service
57,Normal operation,Checked,Maintenance,Service
31,Routine inspection,Checked,Maintenance,Service
84,Normal operation,Checked,Maintenance,Service
152,Routine inspection,Checked,Maintenance,Service
473,Device failure reported,Checked,Maintenance,Service
36,Routine inspection,Checked,Maintenance,Service
213,Routine inspection,Checked,Maintenance,Service
414,Routine inspection,Checked,Maintenance,Service
408,Routine inspection,Checked,Maintenance,Service
364,Routine inspection,Checked,Maintenance,Service
106,Routine inspection,Checked,Maintenance,Service
414,Routine inspection,Checked,Maintenance,Service
342,Normal operation,Checked,Maintenance,Service
220,Device failure reported,Checked,Maintenance,Service
391,Routine inspection,Checked,Maintenance,Service
163,Routine inspection,Checked,Maintenance,Service
439,Normal operation,Checked,Maintenance,Service
220,Normal operation,Checked,Maintenance,Service
270,Device failure reported,Checked,Maintenance,Service
120,Routine inspection,Checked,Maintenance,Service
394,Routine inspection,Checked,Maintenance,Service
336,Routine inspection,Checked,Maintenance,Service
400,Routine inspection,Checked,Maintenance,Service
182,Device failure reported,Checked,Maintenance,Service
